unix_time,EPOCH to date,accel_x,accel_y,accel_z,batt_current,batt_voltage,bme_altitude,bme_humidity,bme_pressure,bme_temp,cpu_load,cpu_temp,free_disk,free_memory,gps_alt,gps_lat,gps_lon,gps_num_sats,gps_velocity,gyro_x,gyro_y,gyro_z,i_3v3,i_5v0,i_vbatt,mag_x,mag_y,mag_z,num_resets,packet_count,reg_temp_3v3,reg_temp_5v0,tmp1,tmp1_clean,tmp2,tmp2_clean,used_disk,used_memory,v_3v3,v_5v0,v_vbatt
1763823372,11/22/2025 9:56:12,16016,-4432,-1336,0.4535456299,11.33056641,249.0533858,21.9616792,983.6914999,30.99191406,62.06,64.5,22660660,77104,0,0,0,0,0,935,1254,-2033,0.04455789185,0.2105965576,0.1355143066,-662,101,-409,209,179,42.16605408,45.72269575,29.8125,29.8125,31.25,31.25,6203756,278664,3.319536424,5.090971797,11.34195964
1763823373,11/22/2025 9:56:13,16016,-4432,-1336,0.4535456299,11.33056641,279.5878589,21.71125555,980.1161409,30.96339844,62.06,64.5,22660660,77104,0,0,0,0,0,935,1254,-2033,0.04455789185,0.2105965576,0.1355143066,-662,101,-409,209,179,42.16605408,45.72269575,29.8125,29.8125,31.25,31.25,6203756,278664,3.319536424,5.090971797,11.34195964
1763823375,11/22/2025 9:56:15,16016,-4432,-1336,0.4535456299,11.33056641,279.5878589,21.71125555,980.1161409,30.96339844,62.06,64.5,22660660,77104,0,0,0,0,0,935,1254,-2033,0.04455789185,0.2105965576,0.1355143066,-662,101,-409,209,179,42.16605408,45.72269575,29.8125,29.8125,31.25,31.25,6203756,278664,3.319536424,5.090971797,11.34195964
1763823378,11/22/2025 9:56:18,16016,-4432,-1336,0.4535456299,11.33056641,279.5878589,21.71125555,980.1161409,30.96339844,62.06,64.5,22660660,77104,0,0,0,0,0,935,1254,-2033,0.04455789185,0.2105965576,0.1355143066,-662,101,-409,209,179,42.16605408,45.72269575,29.875,29.875,31.125,31.125,6203756,278664,3.319536424,5.090971797,11.34195964
1763823379,11/22/2025 9:56:19,16016,-4432,-1336,0.4535456299,11.33056641,279.5878589,21.71125555,980.1161409,30.96339844,57.89,64.5,22660660,70760,0,0,0,0,0,935,1254,-2033,0.04455789185,0.2105965576,0.1355143066,-662,101,-409,209,179,42.16605408,45.72269575,29.875,29.875,31.125,31.125,6203756,284968,3.319536424,5.090971797,11.34195964
1763823389,11/22/2025 9:56:29,16016,-4432,-1336,0.4535456299,11.33056641,279.5878589,21.71125555,980.1161409,30.96339844,57.89,64.5,22660660,70760,0,0,0,0,0,935,1254,-2033,0.04455789185,0.2105965576,0.1355143066,-662,101,-409,209,179,42.16605408,45.72269575,29.75,29.75,31.125,31.125,6203756,284968,3.319536424,5.090971797,11.34195964
1763823391,11/22/2025 9:56:31,16016,-4432,-1336,0.4535456299,11.33056641,279.5878589,21.71125555,980.1161409,30.96339844,50.25,63.4,22660640,91912,0,0,0,0,0,935,1254,-2033,0.04455789185,0.2105965576,0.1355143066,-662,101,-409,209,179,42.16605408,45.72269575,29.75,29.75,31.125,31.125,6203776,269516,3.319536424,5.090971797,11.34195964
1763823394,11/22/2025 9:56:34,16016,-4432,-1336,0.4535456299,11.33056641,279.5878589,21.71125555,980.1161409,30.96339844,50.25,63.4,22660640,91912,0,0,0,0,0,935,1254,-2033,0.04455789185,0.2105965576,0.1355143066,-662,101,-409,209,179,42.16605408,45.72269575,29.75,29.75,30.875,30.875,6203776,269516,3.319536424,5.090971797,11.34195964
1763823395,11/22/2025 9:56:35,16016,-4432,-1336,0.4535456299,11.33056641,279.5878589,21.71125555,980.1161409,30.96339844,50.25,63.4,22660640,91912,0,0,0,0,0,935,1254,-2033,0.04455789185,0.2105965576,0.1355143066,-662,101,-409,209,179,42.16605408,45.72269575,29.5625,29.5625,30.875,30.875,6203776,269516,3.319536424,5.090971797,11.34195964
1763823396,11/22/2025 9:56:37,16016,-4432,-1336,0.4535456299,11.33056641,464.5430603,18.48801385,958.6834668,30.24933594,50.25,63.4,22660640,91912,0,0,0,0,0,935,1254,-2033,0.04455789185,0.2105965576,0.1355143066,-662,101,-409,209,179,42.16605408,45.72269575,29.5625,29.5625,30.875,30.875,6203776,269516,3.319536424,5.090971797,11.34195964
