unix_time,EPOCH to date,rm3100_mag_x,rm3100_mag_y,rm3100_mag_z,rm3100_cycle_count,,Mag_x_scaled,Mag_y_scaled,Mag_z_scaled,Magnetic_field_magnitude (uT)
1763820691,11/22/2025 9:11:31,-411,-283,3703,200,,,,,
1763820715,11/22/2025 9:11:55,-404,-285,3708,200,,,,,
1763820727,11/22/2025 9:12:07,-407,-269,3698,200,,,,,
1763820740,11/22/2025 9:12:20,-404,-275,3696,200,,,,,
1763820756,11/22/2025 9:12:36,363,-1263,3474,200,,,,,
1763820795,11/22/2025 9:13:15,376,-1526,3349,200,,,,,
1763820799,11/22/2025 9:13:19,556,-1229,3375,200,,,,,
1763820819,11/22/2025 9:13:39,589,-1375,3412,200,,,,,
1763820831,11/22/2025 9:13:51,21,-1366,3476,200,,,,,
1763820846,11/22/2025 9:14:06,311,-1122,3461,200,,,,,
1763820851,11/22/2025 9:14:11,401,-1098,3460,200,,,,,
1763820860,11/22/2025 9:14:20,440,-1087,3461,200,,,,,
1763820881,11/22/2025 9:14:41,449,-1085,3471,200,,,,,
1763820925,11/22/2025 9:15:25,467,-1095,3472,200,,,,,
1763820938,11/22/2025 9:15:38,461,-1091,3464,200,,,,,
1763820955,11/22/2025 9:15:55,464,-1089,3470,200,,,,,
1763820965,11/22/2025 9:16:05,464,-1091,3472,200,,,,,
1763820975,11/22/2025 9:16:15,463,-1091,3476,200,,,,,
1763820981,11/22/2025 9:16:21,467,-1091,3482,200,,,,,
1763820990,11/22/2025 9:16:30,466,-1086,3463,200,,,,,
1763820998,11/22/2025 9:16:38,480,-1094,3475,200,,,,,
1763821002,11/22/2025 9:16:42,472,-1088,3478,200,,,,,
1763821012,11/22/2025 9:16:52,475,-1086,3472,200,,,,,
1763821024,11/22/2025 9:17:04,473,-1087,3475,200,,,,,
1763821042,11/22/2025 9:17:22,473,-1083,3472,200,,,,,
1763821055,11/22/2025 9:17:35,484,-1086,3466,200,,,,,
1763821065,11/22/2025 9:17:45,478,-1082,3472,200,,,,,
1763821073,11/22/2025 9:17:53,478,-1086,3469,200,,,,,
1763821090,11/22/2025 9:18:10,478,-1075,3465,200,,,,,
1763821096,11/22/2025 9:18:16,478,-1082,3470,200,,,,,
1763821106,11/22/2025 9:18:26,498,-1092,3480,200,,,,,
1763821122,11/22/2025 9:18:42,485,-1078,3468,200,,,,,
1763821141,11/22/2025 9:19:01,488,-1085,3476,200,,,,,
1763821151,11/22/2025 9:19:11,485,-1081,3468,200,,,,,
1763821166,11/22/2025 9:19:26,484,-1083,3478,200,,,,,
1763821172,11/22/2025 9:19:32,489,-1088,3476,200,,,,,
1763821177,11/22/2025 9:19:37,486,-1074,3467,200,,,,,
1763821202,11/22/2025 9:20:02,490,-1079,3478,200,,,,,
1763821211,11/22/2025 9:20:11,485,-1075,3473,200,,,,,
1763821231,11/22/2025 9:20:31,494,-1074,3475,200,,,,,
1763821236,11/22/2025 9:20:36,495,-1078,3468,200,,,,,
1763821244,11/22/2025 9:20:44,23,-1161,3474,200,,,,,
1763821251,11/22/2025 9:20:51,-243,813,3615,200,,,,,
1763821278,11/22/2025 9:21:18,-271,817,3605,200,,,,,
1763821300,11/22/2025 9:21:40,-264,806,3606,200,,,,,
1763821309,11/22/2025 9:21:49,-268,812,3608,200,,,,,
1763821319,11/22/2025 9:21:59,-260,805,3610,200,,,,,
1763821333,11/22/2025 9:22:13,-264,802,3604,200,,,,,
1763821348,11/22/2025 9:22:28,-264,802,3606,200,,,,,
1763821368,11/22/2025 9:22:48,-261,795,3610,200,,,,,
1763821378,11/22/2025 9:22:58,-261,800,3616,200,,,,,
1763821382,11/22/2025 9:23:02,-262,803,3602,200,,,,,
1763821391,11/22/2025 9:23:11,-264,801,3612,200,,,,,
1763821401,11/22/2025 9:23:21,-255,800,3613,200,,,,,
1763821420,11/22/2025 9:23:40,-269,808,3604,200,,,,,
1763821425,11/22/2025 9:23:45,-264,800,3612,200,,,,,
1763821431,11/22/2025 9:23:51,-263,799,3616,200,,,,,
1763821436,11/22/2025 9:23:56,-262,796,3610,200,,,,,
1763821464,11/22/2025 9:24:24,-265,794,3611,200,,,,,
1763821472,11/22/2025 9:24:32,-260,797,3607,200,,,,,
1763821487,11/22/2025 9:24:47,-253,795,3615,200,,,,,
1763821495,11/22/2025 9:24:55,-264,794,3611,200,,,,,
1763821501,11/22/2025 9:25:01,-252,789,3620,200,,,,,
1763821506,11/22/2025 9:25:06,-262,797,3610,200,,,,,
1763821514,11/22/2025 9:25:14,-267,797,3615,200,,,,,
1763821529,11/22/2025 9:25:29,-264,793,3615,200,,,,,
1763821539,11/22/2025 9:25:39,-270,796,3608,200,,,,,
1763821551,11/22/2025 9:25:51,-264,796,3608,200,,,,,
1763821565,11/22/2025 9:26:05,-259,785,3614,200,,,,,
1763821592,11/22/2025 9:26:32,-260,780,3614,200,,,,,
1763821597,11/22/2025 9:26:37,-260,787,3613,200,,,,,
1763821613,11/22/2025 9:26:53,-264,783,3621,200,,,,,
1763821632,11/22/2025 9:27:12,-257,783,3628,200,,,,,
