accel_x,accel_y,accel_z,batt_current,batt_voltage,bme_altitude,bme_humidity,bme_pressure,bme_temp,cpu_load,cpu_temp,free_disk,free_memory,gps_alt,gps_lat,gps_lon,gps_num_sats,gps_velocity,gyro_x,gyro_y,gyro_z,i_3v3,i_5v0,i_vbatt,mag_x,mag_y,mag_z,num_resets,packet_count,reg_temp_3v3,reg_temp_5v0,temp,temp2,temp3,tmp1,tmp2,unix_time,used_disk,used_memory,v_3v3,v_5v0,v_vbatt
,,0.0,108868.0,170724.0,50.63,11.0,45.1,207.0,5.135049475244729,0.0476098022460937,27.90780057374809,11.831868489583334,11.826171875,983.5676034907012,250.10998861009188,3.290360810740894,0.4028803710937499,0.0,0.0,18.5625,22664244.0,368.0,142.0,,,,-255.0,-41.0,314.0,-788.0,19.4375,1763818849.3690772,23.605,29.417742729389147,-337.0,43.05319802516102,0.1318517578125,0.1715293701171875,6200172.0,-2760.0,-15408.0
,,0.0,108868.0,170724.0,50.63,11.0,45.1,207.0,5.135049475244729,0.0476098022460937,27.90780057374809,11.831868489583334,11.826171875,983.5676034907012,250.10998861009188,3.290360810740894,0.4028803710937499,0.0,0.0,18.625,22664244.0,368.0,142.0,,,,-255.0,-41.0,314.0,-788.0,19.4375,1763818849.9731376,23.605,29.417742729389147,-337.0,43.05319802516102,0.1318517578125,0.1715293701171875,6200172.0,-2760.0,-15408.0
,,0.0,121592.0,161248.0,50.75,11.0,46.2,207.0,5.135049475244729,0.0476098022460937,27.90780057374809,11.831868489583334,11.826171875,983.5676034907012,250.10998861009188,3.290360810740894,0.4028803710937499,0.0,0.0,18.625,22664180.0,368.0,142.0,,,,-255.0,-41.0,314.0,-788.0,19.4375,1763818853.7136416,23.605,29.417742729389147,-337.0,43.05319802516102,0.1318517578125,0.1715293701171875,6200236.0,-2760.0,-15408.0
,,0.0,108868.0,170724.0,50.63,11.0,45.1,207.0,5.135049475244729,0.0476098022460937,27.90780057374809,11.831868489583334,11.826171875,983.5676034907012,250.10998861009188,3.290360810740894,0.4028803710937499,0.0,0.0,18.625,22664244.0,368.0,142.0,,,,-255.0,-41.0,314.0,-788.0,19.4375,1763818851.837551,23.605,29.417742729389147,-337.0,43.05319802516102,0.1318517578125,0.1715293701171875,6200172.0,-2760.0,-15408.0
,,0.0,108868.0,170724.0,50.63,11.0,45.1,207.0,5.135049475244729,0.0476098022460937,27.90780057374809,11.831868489583334,11.826171875,983.5314644539708,250.4182066879224,3.290360810740894,0.4028803710937499,0.0,0.0,18.5625,22664244.0,-176.0,-1129.0,,,,-281.0,-46.0,-2684.0,-205.0,19.4375,1763818840.6287446,23.5563671875,29.417742729389147,-349.0,43.38563393607253,0.1318517578125,0.1715293701171875,6200172.0,-2120.0,-15592.0
,,0.0,108868.0,170724.0,50.63,11.0,45.1,207.0,5.135049475244729,0.0476098022460937,27.90780057374809,11.831868489583334,11.826171875,983.5314644539708,250.4182066879224,3.290360810740894,0.4028803710937499,0.0,0.0,18.5625,22664244.0,368.0,142.0,,,,-255.0,-41.0,314.0,-788.0,19.4375,1763818841.9184206,23.5563671875,29.417742729389147,-337.0,43.38563393607253,0.1318517578125,0.1715293701171875,6200172.0,-2760.0,-15408.0
,,0.0,104876.0,177936.0,75.68,11.0,47.8,207.0,5.113010636295181,0.043947509765625,25.09215291561918,11.8603515625,11.8603515625,983.515861729145,250.55128008209687,3.311432086868791,0.4315703369140624,0.0,0.0,17.625,22661864.0,448.0,63.0,,,,-257.0,-120.0,558.0,-289.0,18.1875,1763818738.7337377,23.1284375,28.01198299070484,-377.0,43.50628795305972,0.13673515625,0.2209737792968749,6202552.0,-1048.0,-15720.0
,,0.0,104876.0,177936.0,75.68,11.0,47.8,207.0,5.113010636295181,0.043947509765625,25.09215291561918,11.8603515625,11.8603515625,983.515861729145,250.55128008209687,3.311432086868791,0.4315703369140624,0.0,0.0,18.0625,22661864.0,448.0,63.0,,,,-257.0,-120.0,558.0,-289.0,18.8125,1763818739.9620037,23.1284375,28.01198299070484,-377.0,43.50628795305972,0.13673515625,0.2209737792968749,6202552.0,-1048.0,-15720.0
,,0.0,104876.0,177936.0,75.68,11.0,47.8,207.0,5.113010636295181,0.043947509765625,25.09215291561918,11.8603515625,11.8603515625,983.515861729145,250.55128008209687,3.311432086868791,0.4315703369140624,0.0,0.0,18.0625,22661864.0,448.0,63.0,,,,-257.0,-120.0,558.0,-289.0,18.8125,1763818741.65007,23.1284375,28.01198299070484,-377.0,43.50628795305972,0.13673515625,0.2209737792968749,6202552.0,-1048.0,-15720.0
,,0.0,104876.0,177936.0,75.68,11.0,47.8,207.0,5.113010636295181,0.043947509765625,25.09215291561918,11.8603515625,11.8603515625,983.533159505128,250.40374994352544,3.311432086868791,0.4315703369140624,0.0,0.0,18.0625,22661864.0,448.0,63.0,,,,-257.0,-120.0,558.0,-289.0,18.8125,1763818743.720515,23.182734375,28.01198299070484,-377.0,43.518479333142096,0.13673515625,0.2209737792968749,6202552.0,-1048.0,-15720.0
