temp,temp2,temp3,unix_time,gps_lat,gps_lon,gps_alt,gps_velocity,gps_num_sats,cpu_temp,cpu_load,used_memory,free_memory,used_disk,free_disk,tmp1,bme_temp,bme_humidity,bme_pressure,bme_altitude,batt_voltage,batt_current,v_3v3,i_3v3,v_5v0,i_5v0,v_vbatt,i_vbatt,reg_temp_3v3,reg_temp_5v0,tmp2,packet_count,num_resets,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1,3,6,1763693608.8735666,41.9845488333,-85.1298021667,14759,63.44123408,6,50.5,32.58,263560,35936,6197168,22667248,22.3125,23.5665234375,37.01341162793977,984.7112491339744,240.36094057997946,11.717936197916668,0.234403125,3.340607699968957,0.03723330688476562,5.098318076995482,0.1947255126953125,11.70654296875,0.029910815429687498,27.178322274365655,30.042105310250236,21.8125,130,162,16,-336,16960,-157,133,-179,-326,-52,-9
1,3,6,1763693609.795894,41.9845488333,-85.1298021667,14759,63.44123408,6,50.5,32.58,263560,35936,6197168,22667248,22.3125,23.5665234375,37.01341162793977,984.7112491339744,240.36094057997946,11.717936197916668,0.234403125,3.340607699968957,0.03723330688476562,5.098318076995482,0.1947255126953125,11.70654296875,0.029910815429687498,27.178322274365655,30.042105310250236,21.8125,130,162,16,-336,16960,-157,133,-179,-326,-52,-9
1,3,6,1763693611.3432946,41.9845488333,-85.1298021667,14759,63.44123408,6,50.5,32.58,263560,35936,6197168,22667248,22.3125,23.5665234375,37.01341162793977,984.7112491339744,240.36094057997946,11.717936197916668,0.234403125,3.340607699968957,0.03723330688476562,5.098318076995482,0.1947255126953125,11.70654296875,0.029910815429687498,27.178322274365655,30.042105310250236,21.8125,130,162,16,-336,16960,-157,133,-179,-326,-52,-9
1,3,6,1763693612.3014848,41.9845488333,-85.1298021667,14759,63.44123408,6,50.5,32.58,263560,35936,6197168,22667248,22.3125,23.5848828125,37.02105028019271,984.7337927061792,240.16885925543798,11.717936197916668,0.234403125,3.340607699968957,0.03723330688476562,5.098318076995482,0.1947255126953125,11.70654296875,0.029910815429687498,27.178322274365655,30.042105310250236,21.8125,130,162,16,-336,16960,-157,133,-179,-326,-52,-9
1,3,6,1763693613.7729323,41.9845488333,-85.1298021667,14759,63.44123408,6,51.0,61.21,264116,35312,6197184,22667232,22.3125,23.5848828125,37.02105028019271,984.7337927061792,240.16885925543798,11.717936197916668,0.234403125,3.340607699968957,0.03723330688476562,5.098318076995482,0.1947255126953125,11.70654296875,0.029910815429687498,27.178322274365655,30.042105310250236,21.8125,130,162,16,-336,16960,-157,133,-179,-326,-52,-9
1,3,6,1763693614.823476,41.9845488333,-85.1298021667,14759,63.44123408,6,51.0,61.21,264116,35312,6197184,22667232,22.3125,23.5848828125,37.02105028019271,984.7337927061792,240.16885925543798,11.695149739583334,0.27102861328125,3.3341242303911423,0.034181396484374994,5.086074277579066,0.24050737304687497,11.712239583333334,0.030521240234374997,27.490998999142676,29.834013100885386,21.8125,130,162,16,-336,16960,-157,133,-179,-326,-52,-9
1,3,6,1763693616.630533,41.9845488333,-85.1298021667,14759,63.44123408,6,51.0,61.21,264116,35312,6197184,22667232,22.3125,23.5708203125,37.00222886427114,984.6831210190453,240.60060970086073,11.695149739583334,0.27102861328125,3.3341242303911423,0.034181396484374994,5.086074277579066,0.24050737304687497,11.712239583333334,0.030521240234374997,27.490998999142676,29.834013100885386,21.8125,130,162,16,-336,16960,-157,133,-179,-326,-52,-9
1,3,6,1763693617.8424096,41.9845488333,-85.1298021667,14759,63.44123408,6,51.0,61.21,264116,35312,6197184,22667232,22.3125,23.5708203125,37.00222886427114,984.6831210190453,240.60060970086073,11.695149739583334,0.27102861328125,3.3341242303911423,0.034181396484374994,5.086074277579066,0.24050737304687497,11.712239583333334,0.030521240234374997,27.490998999142676,29.834013100885386,21.8125,130,162,16,-336,16960,-157,133,-179,-326,-52,-9
1,3,6,1763693619.9544554,41.9845488333,-85.1298021667,14759,63.44123408,6,50.5,32.07,265372,34036,6197184,22667232,22.3125,23.5708203125,37.00222886427114,984.6831210190453,240.60060970086073,11.695149739583334,0.27102861328125,3.3341242303911423,0.034181396484374994,5.086074277579066,0.24050737304687497,11.712239583333334,0.030521240234374997,27.490998999142676,29.834013100885386,21.8125,131,162,16,-336,16960,-157,133,-179,-326,-52,-9
1,3,6,1763693621.3875878,41.9845488333,-85.1298021667,14759,63.44123408,6,50.5,32.07,265372,34036,6197184,22667232,22.3125,23.5708203125,37.00222886427114,984.6831210190453,240.60060970086073,11.695149739583334,0.27102861328125,3.3341242303911423,0.034181396484374994,5.086074277579066,0.24050737304687497,11.712239583333334,0.030521240234374997,27.490998999142676,29.834013100885386,21.8125,131,162,16,-336,16960,-157,133,-179,-326,-52,-9
1,3,6,1763693622.6805058,41.9845488333,-85.1298021667,14759,63.44123408,6,50.5,32.07,265372,34036,6197184,22667232,22.3125,23.567109375,37.0018586151421,984.6981745082658,240.47234387391413,11.695149739583334,0.27102861328125,3.3341242303911423,0.034181396484374994,5.086074277579066,0.24050737304687497,11.712239583333334,0.030521240234374997,27.490998999142676,29.834013100885386,21.8125,131,162,16,-336,16960,-157,133,-179,-326,-52,-9
1,3,6,1763693624.3030813,41.9845488333,-85.1298021667,14759,63.44123408,6,50.5,32.07,265372,34036,6197184,22667232,22.3125,23.567109375,37.0018586151421,984.6981745082658,240.47234387391413,11.695149739583334,0.27102861328125,3.3341242303911423,0.034181396484374994,5.086074277579066,0.24050737304687497,11.712239583333334,0.030521240234374997,27.490998999142676,29.834013100885386,21.8125,131,162,16,-336,16960,-157,133,-179,-326,-52,-9
1,3,6,1763693625.6995242,41.9845488333,-85.1298021667,14759,63.44123408,6,50.5,32.32,264448,34948,6197192,22667224,22.3125,23.567109375,37.0018586151421,984.6981745082658,240.47234387391413,11.695149739583334,0.27102861328125,3.3341242303911423,0.034181396484374994,5.086074277579066,0.24050737304687497,11.712239583333334,0.030521240234374997,27.490998999142676,29.834013100885386,21.8125,131,162,16,-336,16960,-157,133,-179,-326,-52,-9
1,3,6,1763693627.7227113,41.9845488333,-85.1298021667,14759,63.44123408,6,50.5,32.32,264448,34948,6197192,22667224,22.3125,23.567109375,37.0018586151421,984.6981745082658,240.47234387391413,11.695149739583334,0.27102861328125,3.3341242303911423,0.034181396484374994,5.086074277579066,0.24050737304687497,11.712239583333334,0.030521240234374997,27.490998999142676,29.834013100885386,21.8125,132,162,16,-336,16960,-157,133,-179,-326,-52,-9
1,3,6,1763693628.2414014,41.9845488333,-85.1298021667,14759,63.44123408,6,50.5,32.32,264448,34948,6197192,22667224,22.3125,23.567109375,37.0018586151421,984.6981745082658,240.47234387391413,11.695149739583334,0.27102861328125,3.3341242303911423,0.034181396484374994,5.086074277579066,0.24050737304687497,11.712239583333334,0.030521240234374997,27.490998999142676,29.834013100885386,21.8125,132,162,16,-336,16960,-157,133,-179,-326,-52,-9
1,3,6,1763693629.3542154,41.9845488333,-85.1298021667,14759,63.44123408,6,50.5,32.32,264448,34948,6197192,22667224,22.3125,23.567109375,37.0018586151421,984.6981745082658,240.47234387391413,11.695149739583334,0.27102861328125,3.3341242303911423,0.034181396484374994,5.086074277579066,0.24050737304687497,11.712239583333334,0.030521240234374997,27.490998999142676,29.834013100885386,21.8125,132,162,16,-336,16960,-157,133,-179,-326,-52,-9
1,3,6,1763693630.8573442,41.9845488333,-85.1298021667,14759,63.44123408,6,50.5,32.32,264448,34948,6197192,22667224,22.3125,23.5721875,37.03720273958165,984.6993395661453,240.46241686538656,11.695149739583334,0.27102861328125,3.3341242303911423,0.034181396484374994,5.086074277579066,0.24050737304687497,11.712239583333334,0.030521240234374997,27.490998999142676,29.834013100885386,21.8125,132,162,16,-336,16960,-157,133,-179,-326,-52,-9
1,3,6,1763693633.307249,41.9845488333,-85.1298021667,14759,63.44123408,6,50.5,48.86,264468,34912,6197188,22667228,22.3125,23.5721875,37.03720273958165,984.6993395661453,240.46241686538656,11.695149739583334,0.27102861328125,3.3341242303911423,0.034181396484374994,5.086074277579066,0.24050737304687497,11.712239583333334,0.030521240234374997,27.490998999142676,29.834013100885386,21.8125,132,162,16,-336,16960,-157,133,-179,-326,-52,-9
