tmp2,unix_time,bme_temp,bme_humidity,bme_pressure,bme_altitude,batt_voltage,batt_current,v_3v3,i_3v3,v_5v0,i_5v0,v_vbatt,i_vbatt,reg_temp_3v3,reg_temp_5v0,num_resets,packet_count,cpu_temp,cpu_load,used_memory,free_memory,used_disk,free_disk,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,gps_lat,gps_lon,gps_alt,gps_velocity,gps_num_sats,tmp1
25.0,1763823568.4459324,22.367890625,9.328106314559076,823.2471708052881,1717.6715408538557,11.324869791666668,0.42729736328124995,3.3292616282077816,0.03845407104492187,5.098318076995482,0.162372998046875,11.29638671875,0.14833322753906247,34.71663191563971,35.079602490695834,209,193,53.7,75.69,261308,82672,6203940,22660476,2376,-17240,104,986,-13509,-1547,-428,-212,-304,,,0,0,0,24.75
24.6875,1763823575.9519458,21.98625,9.02557174900977,814.5152687030187,1804.0539972235495,11.324869791666668,0.42424523925781243,3.2984651477131623,0.03479177856445312,5.127703195594879,0.162372998046875,11.324869791666668,0.14528110351562498,34.6647718850013,35.54615137427459,209,193,53.7,75.69,261308,82672,6203940,22660476,2040,-14288,-792,-1456,-2293,1105,-455,-197,-294,,,0,0,0,24.625
24.6875,1763823580.2361615,21.98625,9.02557174900977,814.5152687030187,1804.0539972235495,11.324869791666668,0.42424523925781243,3.2984651477131623,0.03479177856445312,5.127703195594879,0.162372998046875,11.324869791666668,0.14528110351562498,34.6647718850013,35.54615137427459,209,193,53.7,74.69,280736,62020,6203916,22660500,2040,-14288,-792,-1456,-2293,1105,-455,-197,-294,,,0,0,0,24.625
24.25,1763823593.938641,21.3258984375,8.290547455192433,800.446591614768,1944.822326572662,11.273600260416668,0.45476647949218746,3.3065694846854305,0.04760980224609374,5.076279238045934,0.20266103515624997,11.324869791666668,0.15260620117187498,34.45731402680963,35.02775486863811,209,193,53.2,67.17,267308,85532,6203976,22660440,6760,-19728,-4344,80,718,5034,-520,-140,-146,,,0,0,0,24.25
24.125,1763823605.618403,21.019453125,7.931263185991336,793.0591618935038,2019.54330303086,11.324869791666668,0.41875141601562493,3.295223412924255,0.043947509765625,5.127703195594879,0.16664597167968748,11.284993489583334,0.15199577636718747,34.197951785234636,34.76849017307836,209,194,52.6,62.5,263732,89048,6203964,22660452,4976,-17328,-2280,-375,-4158,3613,-370,-195,-405,,,0,0,0,24.0
24.0,1763823611.7269397,20.8466015625,7.708723415050983,789.6239961915117,2054.480778476927,11.273600260416668,0.4449996826171875,3.296844280318709,0.04699942016601562,5.076279238045934,0.2020506103515625,11.324869791666668,0.15382705078124997,33.16005883588491,34.146074012587405,209,194,52.1,70.35,262736,90028,6203956,22660460,760,-16288,-5048,1399,446,-1877,-284,-116,-501,,,0,0,0,23.9375
23.3125,1763823646.659016,19.8684765625,7.066857455657994,763.2453476620296,2326.9477373556556,11.302083333333334,0.44011628417968746,3.313052954263245,0.04455789184570312,5.098318076995482,0.21059655761718749,11.26220703125,0.15077492675781248,31.80973413716083,33.5753013099868,209,198,51.5,64.09,267224,92320,6204020,22660396,1728,-13816,-2544,3774,-20892,-3397,-445,-210,-278,,,0,0,0,23.25
22.875,1763823670.5013988,19.3044140625,6.655603913430062,747.7084661166798,2491.017298980113,11.273600260416668,0.42851821289062497,3.304948617290977,0.04455789184570312,5.137498235128012,0.1642042724609375,11.302083333333334,0.15260620117187498,31.70581311140677,32.48504698528859,209,198,50.5,65.25,272300,87032,6204016,22660400,3352,-16376,-16,-4867,15714,1952,-466,-203,-232,,,0,0,0,22.75
22.3125,1763823692.2834222,18.762421875,7.280515387613114,733.9369365024992,2638.768948370776,11.302083333333334,0.45171435546874994,3.308190352079884,0.046389038085937494,5.113010636295181,0.20510273437499998,11.267903645833334,0.1513853515625,31.18610092510403,32.017554788920506,209,199,50.5,59.3,273112,84316,6204032,22660384,2368,-15936,-5376,2053,4220,1381,-210,-125,-436,,,0,0,0,22.5
22.3125,1763823698.7551324,18.4180859375,7.286247275593884,726.5987602354548,2718.417511198722,11.239420572916668,0.44622053222656244,3.3162946890521523,0.04211636352539062,5.103215596762048,0.20571315917968747,11.273600260416668,0.15260620117187498,30.458203835343284,31.497949652803527,209,200,49.9,62.91,269616,87796,6204024,22660392,1160,-15088,-2008,-3899,32767,5824,-513,-170,-360,,,0,0,0,22.3125
