tmp2,unix_time,bme_temp,bme_humidity,bme_pressure,bme_altitude,batt_voltage,batt_current,v_3v3,i_3v3,v_5v0,i_5v0,v_vbatt,i_vbatt,reg_temp_3v3,reg_temp_5v0,num_resets,packet_count,cpu_temp,cpu_load,used_memory,free_memory,used_disk,free_disk,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,gps_lat,gps_lon,gps_alt,gps_velocity,gps_num_sats,tmp1
25.8125,1764101317.4782887,25.0270703125,40.36111831120972,974.7010076282504,326.0066641007617,10.914713541666668,0.5377842529296875,3.300086015107616,0.04944094848632812,5.071381718279367,0.30948537597656245,10.943196614583334,0.14161855468749998,32.3292322892155,32.277290494235785,211,672,63.4,98.25,270324,72768,6205220,22659196,-2288,15984,456,72,240,256,-43,275,-377,,,0,0,0,26.0
25.8125,1764101320.547936,25.0251171875,40.40845843056723,974.7400351426004,325.6713720048489,10.914713541666668,0.5377842529296875,3.300086015107616,0.04944094848632812,5.071381718279367,0.30948537597656245,10.943196614583334,0.14161855468749998,32.3292322892155,32.277290494235785,211,672,63.4,98.25,270324,72768,6205220,22659196,-2288,15984,456,72,240,256,-43,275,-377,,,0,0,0,26.0
25.8125,1764101322.0966692,25.0251171875,40.40845843056723,974.7400351426004,325.6713720048489,10.914713541666668,0.5377842529296875,3.300086015107616,0.04944094848632812,5.071381718279367,0.30948537597656245,10.943196614583334,0.14161855468749998,32.3292322892155,32.277290494235785,211,672,63.4,98.25,270324,72768,6205220,22659196,-2288,15984,456,72,240,256,-43,275,-377,,,0,0,0,26.0
25.8125,1764101323.6586814,25.0251171875,40.40845843056723,974.7400351426004,325.6713720048489,10.914713541666668,0.5377842529296875,3.300086015107616,0.04944094848632812,5.071381718279367,0.30948537597656245,10.943196614583334,0.14161855468749998,32.3292322892155,32.277290494235785,211,672,63.4,98.25,270324,72768,6205220,22659196,-2288,15984,456,72,240,256,-43,275,-377,,,0,0,0,26.0
25.8125,1764101327.129425,25.02765625,40.38495599443103,974.6808723097894,326.1796543396888,10.914713541666668,0.5377842529296875,3.300086015107616,0.04944094848632812,5.071381718279367,0.30948537597656245,10.943196614583334,0.14161855468749998,32.3292322892155,32.277290494235785,211,672,63.4,98.25,270324,72768,6205220,22659196,-2288,15984,456,72,240,256,-43,275,-377,,,0,0,0,26.0
25.8125,1764101328.6888843,25.02765625,40.38495599443103,974.6808723097894,326.1796543396888,10.914713541666668,0.5377842529296875,3.300086015107616,0.04944094848632812,5.071381718279367,0.30948537597656245,10.943196614583334,0.14161855468749998,32.3292322892155,32.277290494235785,211,672,63.4,98.25,270324,72768,6205220,22659196,-2288,15984,456,72,240,256,-43,275,-377,,,0,0,0,26.0
25.8125,1764101330.613027,25.02765625,40.38495599443103,974.6808723097894,326.1796543396888,10.914713541666668,0.5377842529296875,3.300086015107616,0.04944094848632812,5.071381718279367,0.30948537597656245,10.943196614583334,0.14161855468749998,32.3292322892155,32.277290494235785,211,672,63.4,98.25,270324,72768,6205220,22659196,-2288,15984,456,72,240,256,-43,275,-377,,,0,0,0,26.0
25.8125,1764101332.551207,25.0055859375,40.335021972278156,974.793226671009,325.21441192816343,10.914713541666668,0.5377842529296875,3.300086015107616,0.04944094848632812,5.071381718279367,0.30948537597656245,10.943196614583334,0.14161855468749998,32.3292322892155,32.277290494235785,211,672,63.4,98.25,270324,72768,6205220,22659196,-2288,15984,456,72,240,256,-43,275,-377,,,0,0,0,26.0
25.8125,1764101334.2607172,25.0055859375,40.335021972278156,974.793226671009,325.21441192816343,10.914713541666668,0.5377842529296875,3.300086015107616,0.04944094848632812,5.071381718279367,0.30948537597656245,10.943196614583334,0.14161855468749998,32.3292322892155,32.277290494235785,211,672,63.4,77.83,287144,55748,6205248,22659168,-2288,15984,456,72,240,256,-43,275,-377,,,0,0,0,26.0
25.8125,1764101336.0942597,25.0055859375,40.335021972278156,974.793226671009,325.21441192816343,10.914713541666668,0.5377842529296875,3.300086015107616,0.04944094848632812,5.071381718279367,0.30948537597656245,10.943196614583334,0.14161855468749998,32.3292322892155,32.277290494235785,211,672,63.4,77.83,287144,55748,6205248,22659168,-2288,15984,456,72,240,256,-43,275,-377,,,0,0,0,25.9375
